Time (UTCG),Azimuth (deg),Elevation (deg),Range (km)
2020/8/18 4:00:00,94.044,16.581,39515.44348
2020/8/18 4:01:00,95.784,16.512,39523.25246
2020/8/18 4:02:00,97.529,16.327,39544.01079
2020/8/18 4:03:00,99.268,16.026,39577.85516
2020/8/18 4:04:00,100.991,15.608,39624.85487
2020/8/18 4:05:00,102.689,15.076,39685.01024
2020/8/18 4:06:00,104.353,14.431,39758.25192
2020/8/18 4:07:00,105.973,13.676,39844.44078
2020/8/18 4:08:00,107.541,12.813,39943.36812
2020/8/18 4:09:00,109.051,11.849,40054.75678
2020/8/18 4:10:00,110.494,10.786,40178.26269
2020/8/18 4:11:00,111.867,9.631,40313.47683
2020/8/18 4:12:00,113.164,8.388,40459.92787
2020/8/18 4:13:00,114.381,7.064,40617.08521
2020/8/18 4:14:00,115.514,5.665,40784.36225
2020/8/18 4:15:00,116.562,4.196,40961.12022
2020/8/18 4:16:00,117.52,2.663,41146.67214
2020/8/18 4:17:00,118.389,1.074,41340.28714
2020/8/18 4:18:00,119.165,-0.567,41541.19472
2020/8/18 4:19:00,119.848,-2.253,41748.58938
2020/8/18 4:20:00,120.438,-3.979,41961.63511
2020/8/18 4:21:00,120.931,-5.739,42179.47002
2020/8/18 4:22:00,121.328,-7.526,42401.21089
2020/8/18 4:23:00,121.628,-9.336,42625.95761
2020/8/18 4:24:00,121.828,-11.163,42852.79756
2020/8/18 4:25:00,121.928,-13.002,43080.80994
2020/8/18 4:26:00,121.926,-14.847,43309.06978
2020/8/18 4:27:00,121.819,-16.694,43536.65193
2020/8/18 4:28:00,121.606,-18.536,43762.63482
2020/8/18 4:29:00,121.283,-20.368,43986.10401
2020/8/18 4:30:00,120.847,-22.186,44206.15561
2020/8/18 4:31:00,120.296,-23.982,44421.89942
2020/8/18 4:31:22,120.059,-24.648,44501.35121
2020/8/18 5:06:19,50.422,-24.855,44531.10883
2020/8/18 5:07:18,49.445,-22.766,44281.39404
2020/8/18 5:08:18,48.581,-20.589,44018.53138
2020/8/18 5:09:18,47.839,-18.353,43746.03254
2020/8/18 5:10:18,47.215,-16.061,43464.7807
2020/8/18 5:11:18,46.708,-13.718,43175.71653
2020/8/18 5:12:18,46.317,-11.329,42879.83746
2020/8/18 5:13:18,46.04,-8.897,42578.19668
2020/8/18 5:14:18,45.877,-6.428,42271.90167
2020/8/18 5:15:18,45.829,-3.925,41962.11248
2020/8/18 5:16:18,45.898,-1.392,41650.03948
2020/8/18 5:17:18,46.087,1.165,41336.94069
2020/8/18 5:18:18,46.398,3.741,41024.11851
2020/8/18 5:19:18,46.837,6.332,40712.91584
2020/8/18 5:20:18,47.41,8.93,40404.71157
2020/8/18 5:21:18,48.124,11.53,40100.91537
2020/8/18 5:22:18,48.986,14.123,39802.96161
2020/8/18 5:23:18,50.007,16.701,39512.30263
2020/8/18 5:24:18,51.199,19.255,39230.40105
2020/8/18 5:25:18,52.572,21.774,38958.7213
2020/8/18 5:26:18,54.141,24.244,38698.72038
2020/8/18 5:27:18,55.921,26.652,38451.8377
2020/8/18 5:28:18,57.927,28.981,38219.48425
2020/8/18 5:29:18,60.173,31.214,38003.03128
2020/8/18 5:30:18,62.674,33.329,37803.7982
2020/8/18 5:31:18,65.44,35.305,37623.04042
2020/8/18 5:32:18,68.48,37.117,37461.93682
2020/8/18 5:33:18,71.793,38.74,37321.57749
2020/8/18 5:34:18,75.371,40.146,37202.95161
2020/8/18 5:35:18,79.196,41.311,37106.93616
2020/8/18 5:36:18,83.236,42.209,37034.28514
2020/8/18 5:37:18,87.445,42.82,36985.62041
2020/8/18 5:38:18,91.768,43.128,36961.42332
2020/8/18 5:39:18,96.141,43.124,36962.02855
2020/8/18 5:40:18,100.494,42.806,36987.61916
2020/8/18 5:41:18,104.763,42.178,37038.22409
2020/8/18 5:42:18,108.887,41.252,37113.71713
2020/8/18 5:43:18,112.817,40.046,37213.81838
2020/8/18 5:44:18,116.52,38.583,37338.09721
2020/8/18 5:45:18,119.971,36.885,37485.97752
2020/8/18 5:46:18,123.159,34.978,37656.7442
2020/8/18 5:47:18,126.082,32.888,37849.55158
2020/8/18 5:48:18,128.747,30.638,38063.43267
2020/8/18 5:49:18,131.163,28.251,38297.30978
2020/8/18 5:50:18,133.343,25.747,38550.00556
2020/8/18 5:51:18,135.304,23.145,38820.25477
2020/8/18 5:52:18,137.06,20.46,39106.71606
2020/8/18 5:53:18,138.626,17.708,39407.98397
2020/8/18 5:54:18,140.016,14.901,39722.60046
2020/8/18 5:55:18,141.243,12.05,40049.0663
2020/8/18 5:56:18,142.32,9.165,40385.85188
2020/8/18 5:57:18,143.256,6.254,40731.40731
2020/8/18 5:58:18,144.061,3.324,41084.17196
2020/8/18 5:59:18,144.741,0.382,41442.58315
2020/8/18 6:00:18,145.303,-2.568,41805.0842
2020/8/18 6:01:18,145.751,-5.519,42170.13163
2020/8/18 6:02:18,146.09,-8.469,42536.20159
2020/8/18 6:03:18,146.32,-11.413,42901.79568
2020/8/18 6:04:18,146.445,-14.347,43265.446
2020/8/18 6:05:18,146.461,-17.269,43625.71964
2020/8/18 6:06:18,146.369,-20.176,43981.22255
2020/8/18 6:07:18,146.164,-23.065,44330.60288
2020/8/18 6:07:53,145.992,-24.732,44530.05467
2020/8/18 6:47:10,23.731,-24.742,44544.04074
2020/8/18 6:48:10,23.105,-21.633,44171.36373
2020/8/18 6:49:10,22.576,-18.471,43786.92203
2020/8/18 6:50:10,22.137,-15.264,43393.12761
2020/8/18 6:51:10,21.785,-12.014,42991.35598
2020/8/18 6:52:10,21.514,-8.721,42583.05364
2020/8/18 6:53:10,21.322,-5.387,42169.73686
2020/8/18 6:54:10,21.209,-2.011,41752.98997
2020/8/18 6:55:10,21.173,1.407,41334.463
2020/8/18 6:56:10,21.217,4.864,40915.86864
2020/8/18 6:57:10,21.343,8.362,40498.97828
2020/8/18 6:58:10,21.556,11.898,40085.61715
2020/8/18 6:59:10,21.862,15.471,39677.65829
2020/8/18 7:00:10,22.271,19.08,39277.01539
2020/8/18 7:01:10,22.793,22.723,38885.63425
2020/8/18 7:02:10,23.445,26.395,38505.48279
2020/8/18 7:03:10,24.244,30.093,38138.53965
2020/8/18 7:04:10,25.219,33.812,37786.78111
2020/8/18 7:05:10,26.4,37.544,37452.16662
2020/8/18 7:06:10,27.833,41.281,37136.62273
2020/8/18 7:07:10,29.575,45.008,36842.02571
2020/8/18 7:08:10,31.705,48.711,36570.18305
2020/8/18 7:09:10,34.328,52.366,36322.81401
2020/8/18 7:10:10,37.588,55.941,36101.52973
2020/8/18 7:11:10,41.681,59.391,35907.81314
2020/8/18 7:12:10,46.867,62.651,35742.99947
2020/8/18 7:13:10,53.473,65.628,35608.2575
2020/8/18 7:14:10,61.855,68.187,35504.57255
2020/8/18 7:15:10,72.246,70.153,35432.73143
2020/8/18 7:16:10,84.471,71.324,35393.31007
2020/8/18 7:17:10,97.669,71.54,35386.66419
2020/8/18 7:18:10,110.484,70.766,35412.92347
2020/8/18 7:19:10,121.773,69.112,35471.9893
2020/8/18 7:20:10,131.069,66.771,35563.53628
2020/8/18 7:21:10,138.467,63.932,35687.0174
