Time (UTCG),Azimuth (deg),Elevation (deg),Range (km)
2020/8/18 4:00:00,174.644,7.126,40918.92036
2020/8/18 4:01:00,174.666,7.314,40898.78667
2020/8/18 4:02:00,174.689,7.503,40878.61758
2020/8/18 4:03:00,174.713,7.692,40858.41394
2020/8/18 4:04:00,174.738,7.881,40838.17661
2020/8/18 4:05:00,174.764,8.071,40817.90644
2020/8/18 4:06:00,174.791,8.262,40797.60429
2020/8/18 4:07:00,174.819,8.453,40777.27103
2020/8/18 4:08:00,174.847,8.644,40756.90751
2020/8/18 4:09:00,174.877,8.836,40736.51459
2020/8/18 4:10:00,174.908,9.028,40716.09313
2020/8/18 4:11:00,174.939,9.221,40695.644
2020/8/18 4:12:00,174.972,9.415,40675.16806
2020/8/18 4:13:00,175.005,9.608,40654.66617
2020/8/18 4:14:00,175.039,9.802,40634.13919
2020/8/18 4:15:00,175.075,9.997,40613.58798
2020/8/18 4:16:00,175.111,10.192,40593.01342
2020/8/18 4:17:00,175.148,10.388,40572.41635
2020/8/18 4:18:00,175.186,10.583,40551.79766
2020/8/18 4:19:00,175.225,10.78,40531.15819
2020/8/18 4:20:00,175.265,10.976,40510.49882
2020/8/18 4:21:00,175.306,11.174,40489.82041
2020/8/18 4:22:00,175.348,11.371,40469.12382
2020/8/18 4:23:00,175.391,11.569,40448.40992
2020/8/18 4:24:00,175.435,11.767,40427.67957
2020/8/18 4:25:00,175.479,11.966,40406.93364
2020/8/18 4:26:00,175.525,12.165,40386.17298
2020/8/18 4:27:00,175.572,12.365,40365.39847
2020/8/18 4:28:00,175.619,12.565,40344.61096
2020/8/18 4:29:00,175.668,12.765,40323.81132
2020/8/18 4:30:00,175.717,12.965,40303.00042
2020/8/18 4:31:00,175.768,13.166,40282.1791
2020/8/18 4:32:00,175.819,13.368,40261.34823
2020/8/18 4:33:00,175.872,13.569,40240.50868
2020/8/18 4:34:00,175.925,13.771,40219.6613
2020/8/18 4:35:00,175.979,13.974,40198.80696
2020/8/18 4:36:00,176.035,14.177,40177.94651
2020/8/18 4:37:00,176.091,14.38,40157.0808
2020/8/18 4:38:00,176.148,14.583,40136.2107
2020/8/18 4:39:00,176.206,14.787,40115.33707
2020/8/18 4:40:00,176.266,14.991,40094.46075
2020/8/18 4:41:00,176.326,15.195,40073.5826
2020/8/18 4:42:00,176.387,15.4,40052.70348
2020/8/18 4:43:00,176.449,15.605,40031.82423
2020/8/18 4:44:00,176.512,15.81,40010.94571
2020/8/18 4:45:00,176.576,16.016,39990.06876
2020/8/18 4:46:00,176.641,16.222,39969.19424
2020/8/18 4:47:00,176.707,16.428,39948.32299
2020/8/18 4:48:00,176.775,16.634,39927.45586
2020/8/18 4:49:00,176.843,16.841,39906.59368
2020/8/18 4:50:00,176.912,17.048,39885.73731
2020/8/18 4:51:00,176.982,17.255,39864.88759
2020/8/18 4:52:00,177.053,17.463,39844.04535
2020/8/18 4:53:00,177.125,17.671,39823.21142
2020/8/18 4:54:00,177.198,17.879,39802.38666
2020/8/18 4:55:00,177.272,18.087,39781.57189
2020/8/18 4:56:00,177.347,18.295,39760.76794
2020/8/18 4:57:00,177.423,18.504,39739.97565
2020/8/18 4:58:00,177.5,18.713,39719.19583
2020/8/18 4:59:00,177.578,18.923,39698.42933
2020/8/18 5:00:00,177.657,19.132,39677.67696
2020/8/18 5:01:00,177.737,19.342,39656.93955
2020/8/18 5:02:00,177.818,19.552,39636.21792
2020/8/18 5:03:00,177.9,19.762,39615.51288
2020/8/18 5:04:00,177.984,19.972,39594.82525
2020/8/18 5:05:00,178.068,20.183,39574.15585
2020/8/18 5:06:00,178.153,20.394,39553.50549
2020/8/18 5:07:00,178.239,20.605,39532.87496
2020/8/18 5:08:00,178.326,20.816,39512.26509
2020/8/18 5:09:00,178.415,21.027,39491.67668
2020/8/18 5:10:00,178.504,21.239,39471.11052
2020/8/18 5:11:00,178.595,21.451,39450.56742
2020/8/18 5:12:00,178.686,21.663,39430.04816
2020/8/18 5:13:00,178.778,21.875,39409.55355
2020/8/18 5:14:00,178.872,22.087,39389.08438
2020/8/18 5:15:00,178.967,22.299,39368.64142
2020/8/18 5:16:00,179.062,22.512,39348.22547
2020/8/18 5:17:00,179.159,22.725,39327.83731
2020/8/18 5:18:00,179.257,22.937,39307.47772
2020/8/18 5:19:00,179.355,23.15,39287.14747
2020/8/18 5:20:00,179.455,23.363,39266.84733
2020/8/18 5:21:00,179.556,23.577,39246.57808
2020/8/18 5:22:00,179.658,23.79,39226.34047
2020/8/18 5:23:00,179.761,24.004,39206.13528
2020/8/18 5:24:00,179.866,24.217,39185.96326
2020/8/18 5:25:00,179.971,24.431,39165.82517
2020/8/18 5:26:00,180.077,24.645,39145.72176
2020/8/18 5:27:00,180.185,24.859,39125.65378
2020/8/18 5:28:00,180.293,25.073,39105.62197
2020/8/18 5:29:00,180.403,25.287,39085.62708
2020/8/18 5:30:00,180.514,25.501,39065.66985
2020/8/18 5:31:00,180.625,25.715,39045.751
2020/8/18 5:32:00,180.738,25.93,39025.87128
2020/8/18 5:33:00,180.852,26.144,39006.0314
2020/8/18 5:34:00,180.968,26.359,38986.23209
2020/8/18 5:35:00,181.084,26.573,38966.47407
2020/8/18 5:36:00,181.201,26.788,38946.75806
2020/8/18 5:37:00,181.32,27.002,38927.08477
2020/8/18 5:38:00,181.439,27.217,38907.45489
2020/8/18 5:39:00,181.56,27.432,38887.86915
2020/8/18 5:40:00,181.682,27.647,38868.32823
2020/8/18 5:41:00,181.805,27.862,38848.83282
2020/8/18 5:42:00,181.929,28.076,38829.38363
2020/8/18 5:43:00,182.055,28.291,38809.98134
2020/8/18 5:44:00,182.181,28.506,38790.62662
2020/8/18 5:45:00,182.309,28.721,38771.32016
2020/8/18 5:46:00,182.438,28.936,38752.06263
2020/8/18 5:47:00,182.568,29.151,38732.8547
2020/8/18 5:48:00,182.699,29.366,38713.69702
2020/8/18 5:49:00,182.831,29.581,38694.59026
2020/8/18 5:50:00,182.965,29.796,38675.53508
2020/8/18 5:51:00,183.1,30.011,38656.53213
2020/8/18 5:52:00,183.236,30.225,38637.58204
2020/8/18 5:53:00,183.373,30.44,38618.68546
2020/8/18 5:54:00,183.511,30.655,38599.84302
2020/8/18 5:55:00,183.651,30.87,38581.05536
2020/8/18 5:56:00,183.791,31.084,38562.3231
2020/8/18 5:57:00,183.933,31.299,38543.64686
2020/8/18 5:58:00,184.076,31.514,38525.02726
2020/8/18 5:59:00,184.221,31.728,38506.46491
2020/8/18 6:00:00,184.366,31.943,38487.96041
2020/8/18 6:01:00,184.513,32.157,38469.51436
2020/8/18 6:02:00,184.661,32.371,38451.12735
2020/8/18 6:03:00,184.811,32.586,38432.79999
2020/8/18 6:04:00,184.961,32.8,38414.53285
2020/8/18 6:05:00,185.113,33.014,38396.32651
2020/8/18 6:06:00,185.266,33.228,38378.18154
2020/8/18 6:07:00,185.421,33.442,38360.09852
2020/8/18 6:08:00,185.576,33.655,38342.078
2020/8/18 6:09:00,185.733,33.869,38324.12055
2020/8/18 6:10:00,185.891,34.083,38306.22671
2020/8/18 6:11:00,186.051,34.296,38288.39703
2020/8/18 6:12:00,186.212,34.509,38270.63205
2020/8/18 6:13:00,186.374,34.722,38252.93232
2020/8/18 6:14:00,186.537,34.935,38235.29834
2020/8/18 6:15:00,186.702,35.148,38217.73066
2020/8/18 6:16:00,186.868,35.361,38200.22979
2020/8/18 6:17:00,187.036,35.573,38182.79623
2020/8/18 6:18:00,187.204,35.786,38165.4305
2020/8/18 6:19:00,187.374,35.998,38148.1331
2020/8/18 6:20:00,187.546,36.21,38130.90451
2020/8/18 6:21:00,187.718,36.422,38113.74524
2020/8/18 6:22:00,187.893,36.633,38096.65575
2020/8/18 6:23:00,188.068,36.845,38079.63653
2020/8/18 6:24:00,188.245,37.056,38062.68805
2020/8/18 6:25:00,188.423,37.267,38045.81077
2020/8/18 6:26:00,188.603,37.478,38029.00515
2020/8/18 6:27:00,188.784,37.689,38012.27165
2020/8/18 6:28:00,188.966,37.899,37995.61069
2020/8/18 6:29:00,189.15,38.109,37979.02274
2020/8/18 6:30:00,189.335,38.319,37962.50821
2020/8/18 6:31:00,189.522,38.529,37946.06754
2020/8/18 6:32:00,189.71,38.738,37929.70115
2020/8/18 6:33:00,189.9,38.948,37913.40945
2020/8/18 6:34:00,190.091,39.157,37897.19285
2020/8/18 6:35:00,190.283,39.365,37881.05175
2020/8/18 6:36:00,190.477,39.574,37864.98655
2020/8/18 6:37:00,190.672,39.782,37848.99763
2020/8/18 6:38:00,190.869,39.99,37833.08538
2020/8/18 6:39:00,191.067,40.197,37817.25017
2020/8/18 6:40:00,191.267,40.405,37801.49237
2020/8/18 6:41:00,191.468,40.612,37785.81235
2020/8/18 6:42:00,191.671,40.818,37770.21046
2020/8/18 6:43:00,191.875,41.025,37754.68704
2020/8/18 6:44:00,192.081,41.231,37739.24245
2020/8/18 6:45:00,192.289,41.436,37723.87702
2020/8/18 6:46:00,192.498,41.642,37708.59108
2020/8/18 6:47:00,192.708,41.847,37693.38495
2020/8/18 6:48:00,192.92,42.052,37678.25894
2020/8/18 6:49:00,193.134,42.256,37663.21338
2020/8/18 6:50:00,193.349,42.46,37648.24855
2020/8/18 6:51:00,193.565,42.664,37633.36476
2020/8/18 6:52:00,193.784,42.867,37618.56229
2020/8/18 6:53:00,194.004,43.07,37603.84143
2020/8/18 6:54:00,194.225,43.272,37589.20245
2020/8/18 6:55:00,194.448,43.475,37574.64562
2020/8/18 6:56:00,194.673,43.676,37560.17121
2020/8/18 6:57:00,194.899,43.878,37545.77946
2020/8/18 6:58:00,195.127,44.079,37531.47064
2020/8/18 6:59:00,195.357,44.279,37517.24497
2020/8/18 7:00:00,195.588,44.479,37503.10269
2020/8/18 7:01:00,195.821,44.679,37489.04403
2020/8/18 7:02:00,196.056,44.878,37475.06921
2020/8/18 7:03:00,196.292,45.077,37461.17845
2020/8/18 7:04:00,196.53,45.276,37447.37195
2020/8/18 7:05:00,196.77,45.474,37433.64991
2020/8/18 7:06:00,197.011,45.671,37420.01252
2020/8/18 7:07:00,197.254,45.868,37406.45998
2020/8/18 7:08:00,197.499,46.065,37392.99245
2020/8/18 7:09:00,197.746,46.261,37379.61012
2020/8/18 7:10:00,197.994,46.456,37366.31314
2020/8/18 7:11:00,198.245,46.651,37353.10168
2020/8/18 7:12:00,198.496,46.846,37339.97588
2020/8/18 7:13:00,198.75,47.04,37326.93589
2020/8/18 7:14:00,199.006,47.234,37313.98185
2020/8/18 7:15:00,199.263,47.427,37301.11389
2020/8/18 7:16:00,199.522,47.619,37288.33213
2020/8/18 7:17:00,199.783,47.811,37275.63669
2020/8/18 7:18:00,200.045,48.003,37263.02768
2020/8/18 7:19:00,200.31,48.194,37250.50519
2020/8/18 7:20:00,200.576,48.384,37238.06934
2020/8/18 7:21:00,200.845,48.574,37225.72019
2020/8/18 7:22:00,201.115,48.763,37213.45784
2020/8/18 7:23:00,201.387,48.952,37201.28236
2020/8/18 7:24:00,201.661,49.14,37189.19382
2020/8/18 7:25:00,201.936,49.328,37177.19228
2020/8/18 7:26:00,202.214,49.515,37165.27779
2020/8/18 7:27:00,202.493,49.701,37153.45039
2020/8/18 7:28:00,202.775,49.887,37141.71014
2020/8/18 7:29:00,203.058,50.072,37130.05706
2020/8/18 7:30:00,203.344,50.256,37118.49118
2020/8/18 7:31:00,203.631,50.44,37107.01252
2020/8/18 7:32:00,203.92,50.623,37095.62108
2020/8/18 7:33:00,204.211,50.806,37084.31689
2020/8/18 7:34:00,204.505,50.988,37073.09992
2020/8/18 7:35:00,204.8,51.169,37061.97019
2020/8/18 7:36:00,205.097,51.35,37050.92766
2020/8/18 7:37:00,205.396,51.53,37039.97233
2020/8/18 7:38:00,205.697,51.709,37029.10416
2020/8/18 7:39:00,206,51.887,37018.32311
2020/8/18 7:40:00,206.306,52.065,37007.62915
2020/8/18 7:41:00,206.613,52.242,36997.02222
2020/8/18 7:42:00,206.922,52.419,36986.50227
2020/8/18 7:43:00,207.234,52.595,36976.06924
2020/8/18 7:44:00,207.547,52.77,36965.72306
2020/8/18 7:45:00,207.863,52.944,36955.46366
2020/8/18 7:46:00,208.18,53.118,36945.29094
2020/8/18 7:47:00,208.5,53.29,36935.20483
2020/8/18 7:48:00,208.822,53.463,36925.20522
2020/8/18 7:49:00,209.146,53.634,36915.29202
2020/8/18 7:50:00,209.472,53.804,36905.46512
2020/8/18 7:51:00,209.8,53.974,36895.72439
2020/8/18 7:52:00,210.13,54.143,36886.06973
2020/8/18 7:53:00,210.462,54.311,36876.501
2020/8/18 7:54:00,210.797,54.479,36867.01807
2020/8/18 7:55:00,211.134,54.645,36857.6208
2020/8/18 7:56:00,211.473,54.811,36848.30904
2020/8/18 7:57:00,211.814,54.976,36839.08264
2020/8/18 7:58:00,212.157,55.14,36829.94143
2020/8/18 7:59:00,212.502,55.304,36820.88525
2020/8/18 8:00:00,212.85,55.466,36811.91394
2020/8/18 8:01:00,213.2,55.628,36803.0273
2020/8/18 8:02:00,213.551,55.789,36794.22516
2020/8/18 8:03:00,213.906,55.949,36785.50732
2020/8/18 8:04:00,214.262,56.108,36776.8736
2020/8/18 8:05:00,214.621,56.266,36768.32377
2020/8/18 8:06:00,214.981,56.423,36759.85764
2020/8/18 8:07:00,215.344,56.58,36751.475
2020/8/18 8:08:00,215.71,56.735,36743.17561
2020/8/18 8:09:00,216.077,56.89,36734.95925
2020/8/18 8:10:00,216.447,57.044,36726.8257
2020/8/18 8:11:00,216.819,57.197,36718.7747
2020/8/18 8:12:00,217.193,57.349,36710.80602
2020/8/18 8:13:00,217.569,57.5,36702.91941
2020/8/18 8:14:00,217.948,57.65,36695.1146
2020/8/18 8:15:00,218.329,57.799,36687.39134
2020/8/18 8:16:00,218.712,57.947,36679.74936
2020/8/18 8:17:00,219.097,58.094,36672.18839
2020/8/18 8:18:00,219.485,58.241,36664.70814
2020/8/18 8:19:00,219.875,58.386,36657.30834
2020/8/18 8:20:00,220.267,58.53,36649.98869
2020/8/18 8:21:00,220.662,58.674,36642.74889
2020/8/18 8:22:00,221.058,58.816,36635.58866
2020/8/18 8:23:00,221.457,58.957,36628.50767
2020/8/18 8:24:00,221.858,59.098,36621.50563
2020/8/18 8:25:00,222.262,59.237,36614.5822
2020/8/18 8:26:00,222.667,59.376,36607.73708
2020/8/18 8:27:00,223.075,59.513,36600.96993
2020/8/18 8:28:00,223.485,59.649,36594.28043
2020/8/18 8:29:00,223.898,59.785,36587.66822
2020/8/18 8:30:00,224.312,59.919,36581.13298
2020/8/18 8:31:00,224.729,60.052,36574.67435
2020/8/18 8:32:00,225.148,60.184,36568.29199
2020/8/18 8:33:00,225.569,60.315,36561.98553
2020/8/18 8:34:00,225.993,60.445,36555.75461
2020/8/18 8:35:00,226.418,60.575,36549.59887
2020/8/18 8:36:00,226.846,60.702,36543.51793
2020/8/18 8:37:00,227.276,60.829,36537.51142
2020/8/18 8:38:00,227.708,60.955,36531.57896
2020/8/18 8:39:00,228.142,61.08,36525.72016
2020/8/18 8:40:00,228.579,61.204,36519.93464
2020/8/18 8:41:00,229.017,61.326,36514.22199
2020/8/18 8:42:00,229.458,61.448,36508.58182
2020/8/18 8:43:00,229.901,61.568,36503.01372
2020/8/18 8:44:00,230.346,61.687,36497.5173
2020/8/18 8:45:00,230.793,61.806,36492.09212
2020/8/18 8:46:00,231.242,61.923,36486.73779
2020/8/18 8:47:00,231.693,62.039,36481.45388
2020/8/18 8:48:00,232.146,62.153,36476.23997
2020/8/18 8:49:00,232.602,62.267,36471.09562
2020/8/18 8:50:00,233.059,62.38,36466.02041
2020/8/18 8:51:00,233.518,62.491,36461.0139
2020/8/18 8:52:00,233.98,62.601,36456.07564
2020/8/18 8:53:00,234.443,62.711,36451.2052
2020/8/18 8:54:00,234.908,62.819,36446.40213
2020/8/18 8:55:00,235.375,62.926,36441.66598
2020/8/18 8:56:00,235.844,63.031,36436.99629
2020/8/18 8:57:00,236.315,63.136,36432.3926
2020/8/18 8:58:00,236.787,63.24,36427.85445
2020/8/18 8:59:00,237.262,63.342,36423.38138
2020/8/18 9:00:00,237.738,63.443,36418.97292
2020/8/18 9:01:00,238.217,63.543,36414.62859
2020/8/18 9:02:00,238.696,63.642,36410.34792
2020/8/18 9:03:00,239.178,63.74,36406.13043
2020/8/18 9:04:00,239.662,63.836,36401.97564
2020/8/18 9:05:00,240.147,63.932,36397.88306
2020/8/18 9:06:00,240.633,64.026,36393.85221
2020/8/18 9:07:00,241.122,64.119,36389.8826
2020/8/18 9:08:00,241.612,64.211,36385.97372
2020/8/18 9:09:00,242.103,64.302,36382.1251
2020/8/18 9:10:00,242.596,64.392,36378.33622
2020/8/18 9:11:00,243.091,64.48,36374.60658
2020/8/18 9:12:00,243.587,64.568,36370.93568
2020/8/18 9:13:00,244.085,64.654,36367.32301
2020/8/18 9:14:00,244.584,64.739,36363.76807
2020/8/18 9:15:00,245.084,64.823,36360.27033
2020/8/18 9:16:00,245.586,64.906,36356.82929
2020/8/18 9:17:00,246.089,64.987,36353.44442
2020/8/18 9:18:00,246.593,65.068,36350.11521
2020/8/18 9:19:00,247.099,65.147,36346.84114
2020/8/18 9:20:00,247.606,65.225,36343.62169
2020/8/18 9:21:00,248.114,65.302,36340.45631
2020/8/18 9:22:00,248.623,65.378,36337.3445
2020/8/18 9:23:00,249.133,65.453,36334.28571
2020/8/18 9:24:00,249.645,65.527,36331.27943
2020/8/18 9:25:00,250.157,65.599,36328.3251
2020/8/18 9:26:00,250.67,65.67,36325.4222
2020/8/18 9:27:00,251.185,65.741,36322.5702
2020/8/18 9:28:00,251.7,65.81,36319.76854
2020/8/18 9:29:00,252.216,65.878,36317.01669
2020/8/18 9:30:00,252.733,65.945,36314.31412
2020/8/18 9:31:00,253.251,66.011,36311.66027
2020/8/18 9:32:00,253.77,66.076,36309.05461
2020/8/18 9:33:00,254.289,66.139,36306.49657
2020/8/18 9:34:00,254.809,66.202,36303.98563
2020/8/18 9:35:00,255.33,66.264,36301.52122
2020/8/18 9:36:00,255.851,66.324,36299.10281
2020/8/18 9:37:00,256.373,66.383,36296.72983
2020/8/18 9:38:00,256.896,66.442,36294.40174
2020/8/18 9:39:00,257.418,66.499,36292.11799
2020/8/18 9:40:00,257.942,66.555,36289.87801
2020/8/18 9:41:00,258.466,66.611,36287.68126
2020/8/18 9:42:00,258.99,66.665,36285.52719
2020/8/18 9:43:00,259.514,66.718,36283.41522
2020/8/18 9:44:00,260.039,66.77,36281.34482
2020/8/18 9:45:00,260.564,66.821,36279.31541
2020/8/18 9:46:00,261.089,66.872,36277.32645
2020/8/18 9:47:00,261.614,66.921,36275.37738
2020/8/18 9:48:00,262.14,66.969,36273.46763
2020/8/18 9:49:00,262.665,67.016,36271.59665
2020/8/18 9:50:00,263.191,67.062,36269.76388
2020/8/18 9:51:00,263.717,67.108,36267.96876
2020/8/18 9:52:00,264.242,67.152,36266.21073
2020/8/18 9:53:00,264.768,67.196,36264.48923
2020/8/18 9:54:00,265.293,67.238,36262.8037
2020/8/18 9:55:00,265.818,67.28,36261.15358
2020/8/18 9:56:00,266.343,67.321,36259.53832
2020/8/18 9:57:00,266.868,67.361,36257.95735
2020/8/18 9:58:00,267.393,67.4,36256.41012
2020/8/18 9:59:00,267.917,67.438,36254.89606
2020/8/18 10:00:00,268.441,67.475,36253.41462
2020/8/18 10:01:00,268.964,67.511,36251.96524
2020/8/18 10:02:00,269.488,67.547,36250.54736
2020/8/18 10:03:00,270.01,67.582,36249.16043
2020/8/18 10:04:00,270.532,67.616,36247.80389
2020/8/18 10:05:00,271.054,67.649,36246.47719
2020/8/18 10:06:00,271.575,67.681,36245.17976
2020/8/18 10:07:00,272.096,67.713,36243.91106
2020/8/18 10:08:00,272.615,67.743,36242.67054
2020/8/18 10:09:00,273.135,67.774,36241.45763
2020/8/18 10:10:00,273.653,67.803,36240.2718
2020/8/18 10:11:00,274.171,67.831,36239.11248
2020/8/18 10:12:00,274.688,67.859,36237.97914
2020/8/18 10:13:00,275.204,67.887,36236.87121
2020/8/18 10:14:00,275.72,67.913,36235.78816
2020/8/18 10:15:00,276.234,67.939,36234.72945
2020/8/18 10:16:00,276.748,67.964,36233.69451
2020/8/18 10:17:00,277.261,67.989,36232.68282
2020/8/18 10:18:00,277.773,68.012,36231.69383
2020/8/18 10:19:00,278.284,68.036,36230.72701
2020/8/18 10:20:00,278.794,68.058,36229.7818
2020/8/18 10:21:00,279.303,68.08,36228.85769
2020/8/18 10:22:00,279.811,68.102,36227.95412
2020/8/18 10:23:00,280.318,68.123,36227.07057
2020/8/18 10:24:00,280.824,68.143,36226.20651
2020/8/18 10:25:00,281.328,68.163,36225.3614
2020/8/18 10:26:00,281.832,68.182,36224.53473
2020/8/18 10:27:00,282.334,68.201,36223.72595
2020/8/18 10:28:00,282.836,68.219,36222.93456
2020/8/18 10:29:00,283.336,68.237,36222.16001
2020/8/18 10:30:00,283.835,68.254,36221.40181
2020/8/18 10:31:00,284.332,68.271,36220.65943
2020/8/18 10:32:00,284.829,68.287,36219.93235
2020/8/18 10:33:00,285.324,68.303,36219.22006
2020/8/18 10:34:00,285.818,68.319,36218.52205
2020/8/18 10:35:00,286.311,68.334,36217.83781
2020/8/18 10:36:00,286.802,68.348,36217.16683
2020/8/18 10:37:00,287.292,68.363,36216.50862
2020/8/18 10:38:00,287.781,68.377,36215.86266
2020/8/18 10:39:00,288.268,68.39,36215.22847
2020/8/18 10:40:00,288.754,68.404,36214.60554
2020/8/18 10:41:00,289.239,68.417,36213.99338
2020/8/18 10:42:00,289.722,68.429,36213.3915
2020/8/18 10:43:00,290.204,68.441,36212.79942
2020/8/18 10:44:00,290.684,68.453,36212.21665
2020/8/18 10:45:00,291.163,68.465,36211.6427
2020/8/18 10:46:00,291.641,68.477,36211.0771
2020/8/18 10:47:00,292.117,68.488,36210.51937
2020/8/18 10:48:00,292.591,68.499,36209.96903
2020/8/18 10:49:00,293.065,68.51,36209.42563
